Id,Sales_Price,Baths,Land_size,Beds,House_size,Location
1,5400000,1,50,3,1600,"MataraCity,Matara"
2,16800000,3,8,3,1480,"Athurugiriya,Colombo"
3,20000000,2,20,3,2800,"Kelaniya,Gampaha"
4,187000000,5,22,5,4000,"Colombo6,Colombo"
5,1300000,1,6.3,2,900,"Dehiwala,Colombo"
6,55000000,4,11,4,3300,"Talawatugoda,Colombo"
7,45000000,4,10,4,4100,"KandyCity,Kandy"
8,16700000,3,9,3,1400,"Piliyandala,Colombo"
9,50000000,4,10,4,4000,"Talawatugoda,Colombo"
10,16000000,1,3000,3,2000,"Kadawatha,Gampaha"
11,19500000,2,10,4,5000,"GampahaCity,Gampaha"
12,11500000,1,9.85,3,1800,"Katugastota,Kandy"
13,26500000,3,10.5,4,3100,"Negombo,Gampaha"
14,19000000,2,11.4,4,1900,"Malabe,Colombo"
15,11000000,1,80,3,1100,"JaffnaCity,Jaffna"
16,16500000,2,7.5,3,1250,"Malabe,Colombo"
17,6500000,1,3,2,950,"Rajagiriya,Colombo"
18,95000000,10,11.2,10,6000,"MountLavinia,Colombo"
19,55000000,5,11,4,3000,"Battaramulla,Colombo"
20,50000000,3,20.5,4,2900,"Battaramulla,Colombo"
21,13500000,2,15,3,1400,"Moratuwa,Colombo"
22,24500000,2,7.42,4,2900,"Moratuwa,Colombo"
23,32500000,2,21.5,4,2880,"Piliyandala,Colombo"
24,27000000,5,11.2,9,3085,"Nugegoda,Colombo"
25,32500000,4,7.5,5,2042,"Dehiwala,Colombo"
26,33000000,3,8,4,3200,"Kottawa,Colombo"
27,28500000,3,10.2,5,2800,"Homagama,Colombo"
28,17000000,3,10.3,5,2600,"Minuwangoda,Gampaha"
29,31000000,4,12.5,4,2882,"Negombo,Gampaha"
30,4500000,1,150,3,750,"Elpitiya,Galle"
31,14800000,1,6.8,3,1800,"Malabe,Colombo"
32,27000000,4,7,4,2700,"Kottawa,Colombo"
33,34000000,7,39.13,10,4000,"Gampola,Kandy"
34,39500000,4,12,4,4200,"Battaramulla,Colombo"
35,32500000,6,11,8,4000,"Karapitiya,Galle"
36,35000000,5,10,6,2000,"Dehiwala,Colombo"
37,65000000,5,27.5,6,5000,"Talawatugoda,Colombo"
38,36440000,2,9.11,4,1650,"Colombo9,Colombo"
39,40000000,4,12.1,6,3000,"Ratmalana,Colombo"
40,49500000,4,10,4,4000,"Talawatugoda,Colombo"
41,25500000,3,6.8,4,2500,"Piliyandala,Colombo"
42,29500000,4,10,7,5000,"KandyCity,Kandy"
43,85000000,5,15.5,5,3200,"Dehiwala,Colombo"
44,28000000,4,10,4,2800,"Athurugiriya,Colombo"
45,47000000,3,14,3,2800,"Nugegoda,Colombo"
46,8400000,1,15,3,3000,"KalutaraCity,Kalutara"
47,75000000,2,10.4,3,5400,"Boralesgamuwa,Colombo"
48,18500000,1,1.5,2,600,"KandyCity,Kandy"
49,29500000,4,13,6,3800,"Kottawa,Colombo"
50,65000000,7,26,8,6000,"Moratuwa,Colombo"
51,39000000,5,13.98,5,4300,"Piliyandala,Colombo"
52,25000000,3,10,3,2200,"Athurugiriya,Colombo"
53,20500000,3,6.5,3,2000,"Athurugiriya,Colombo"
54,14500000,3,6,3,1200,"Athurugiriya,Colombo"
55,21200000,3,6.25,4,2290,"Battaramulla,Colombo"
56,17800000,3,6.5,3,1800,"Piliyandala,Colombo"
57,16000000,1,20,5,4000,"Baddegama,Galle"
58,19800000,2,8,4,1800,"Kotte,Colombo"
59,25500000,3,13.5,5,2089,"Kandana,Gampaha"
60,27500000,4,11.5,4,2800,"Malabe,Colombo"
61,36000000,4,10,4,3600,"Malabe,Colombo"
62,3900000,1,13,2,600,"Homagama,Colombo"
63,25000000,2,23,3,2200,"Piliyandala,Colombo"
64,7500000,1,10.3,3,1800,"MataraCity,Matara"
65,24800000,3,6.5,4,2800,"Piliyandala,Colombo"
66,34000000,4,8.5,4,3500,"Piliyandala,Colombo"
67,15000000,2,13.8,3,2500,"KurunegalaCity,Kurunegala"
68,70000000,2,20,4,4900,"Kadawatha,Gampaha"
69,4000000,1,90,3,3500,"Nittambuwa,Gampaha"
70,89000000,1,15,3,1500,"Homagama,Colombo"
71,12500000,2,10,3,1540,"Homagama,Colombo"
72,19000000,3,11.4,4,1900,"Malabe,Colombo"
73,79500000,1,7,3,1100,"Homagama,Colombo"
74,12000000,1,20,3,1650,"Homagama,Colombo"
75,14200000,2,7.86,3,1100,"Malabe,Colombo"
76,7500000,1,11.6,3,3158,"Homagama,Colombo"
77,5500000,1,15,2,4000,"Nittambuwa,Gampaha"
78,36400000,1,280,3,3500,"Nittambuwa,Gampaha"
79,24500000,3,15,6,3500,"KurunegalaCity,Kurunegala"
80,49000000,2,31,4,1900,"Ragama,Gampaha"
81,16800000,2,12.05,4,2750,"Ja-Ela,Gampaha"
82,21000000,3,10.6,3,1795,"Piliyandala,Colombo"
83,28000000,5,112,5,2900,"Chilaw,Puttalam"
84,16500000,2,7.4,3,1300,"Kottawa,Colombo"
85,16000000,2,22,3,2500,"GampahaCity,Gampaha"
86,65000000,3,20,5,3000,"Homagama,Colombo"
87,12000000,1,10.5,3,1300,"Homagama,Colombo"
88,7800000,1,11.5,2,1200,"Padukka,Colombo"
89,36000000,4,8.5,4,2900,"Piliyandala,Colombo"
90,27500000,5,7.5,5,2300,"Piliyandala,Colombo"
91,13000000,2,15,4,5000,"Nittambuwa,Gampaha"
92,35500000,5,8,4,4500,"Malabe,Colombo"
93,22500000,3,10,5,3514,"Piliyandala,Colombo"
94,5750000,1,7,2,3500,"Kadawatha,Gampaha"
95,11000000,1,7.5,2,1200,"GampahaCity,Gampaha"
96,7500000,1,20,3,850,"Horana,Kalutara"
97,70000000,4,20,5,5450,"Nugegoda,Colombo"
98,24500000,3,10,5,3000,"Homagama,Colombo"
99,20500000,3,6.5,3,1900,"Homagama,Colombo"
100,24500000,2,7.42,4,1600,"Moratuwa,Colombo"
101,29800000,4,6,5,3800,"Homagama,Colombo"
